Division,Zone_Name,Lat_Rule,Long_Rule,Season,Crop,Variety
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Kharif,Paddy,MO-4 (Bhadra)
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Kharif,Paddy,Mahaveer
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Kharif,Paddy,Matta
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Rabi,Black gram,LBG-17
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Rabi,Cowpea,GP-1
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Rabi,Green gram,Pusa Vishal
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Rabi,Groundnut,TMV-2
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Rabi,Groundnut,DH 3-30
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Rabi,Groundnut,DH-40
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Rabi,Paddy,
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Rabi,Paddy,Jyoti
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Rabi,Sesame,DS-1
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Summer,Groundnut,TMV-2
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Summer,Groundnut,DH 3-30
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Summer,Paddy,
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Summer,Paddy,Shakti
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Summer,Paddy,CTH-1 (Mukti)
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Summer,Paddy,Sahyadri Brahma
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Summer,Vegetables,Brinjal (G-4)
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Summer,Vegetables,Chilli (Poosa Jwala)
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Summer,Vegetables,Cucumber
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Summer,Vegetables,Radish
Brahmavara,Zone A: River Basin,13.40-13.45,74.70-74.75,Summer,Vegetables,Lady's Finger
Brahmavara,Zone B: General Plains,13.35-13.50,74.75-74.85,Kharif,Paddy,MO-4 (Bhadra)
Brahmavara,Zone B: General Plains,13.35-13.50,74.75-74.85,Kharif,Paddy,Mahaveer
Brahmavara,Zone B: General Plains,13.35-13.50,74.75-74.85,Rabi,Black gram,LBG-17
Brahmavara,Zone B: General Plains,13.35-13.50,74.75-74.85,Rabi,Cowpea,GP-1
Brahmavara,Zone B: General Plains,13.35-13.50,74.75-74.85,Rabi,Green gram,Pusa Vishal
Brahmavara,Zone B: General Plains,13.35-13.50,74.75-74.85,Rabi,Groundnut,TMV-2
Brahmavara,Zone B: General Plains,13.35-13.50,74.75-74.85,Rabi,Groundnut,DH 3-30
Brahmavara,Zone B: General Plains,13.35-13.50,74.75-74.85,Rabi,Groundnut,DH-40
Brahmavara,Zone B: General Plains,13.35-13.50,74.75-74.85,Rabi,Sesame,DS-1
Brahmavara,Zone B: General Plains,13.35-13.50,74.75-74.85,Summer,Groundnut,TMV-2
Brahmavara,Zone B: General Plains,13.35-13.50,74.75-74.85,Summer,Groundnut,DH 3-30
Brahmavara,Zone B: General Plains,13.35-13.50,74.75-74.85,Summer,Vegetables,Brinjal (G-4)
Brahmavara,Zone B: General Plains,13.35-13.50,74.75-74.85,Summer,Vegetables,Chilli (Poosa Jwala)
Brahmavara,Zone B: General Plains,13.35-13.50,74.75-74.85,Summer,Vegetables,Cucumber
Brahmavara,Zone B: General Plains,13.35-13.50,74.75-74.85,Summer,Vegetables,Radish
Brahmavara,Zone B: General Plains,13.35-13.50,74.75-74.85,Summer,Vegetables,Lady's Finger
Byndoor,Zone A: Coastal Belt,13.80-13.95,74.60-74.65,Kharif,Paddy,MO-4 (Bhadra)
Byndoor,Zone A: Coastal Belt,13.80-13.95,74.60-74.65,Kharif,Paddy,Mahaveer
Byndoor,Zone A: Coastal Belt,13.80-13.95,74.60-74.65,Rabi,Black gram,LBG-17
Byndoor,Zone A: Coastal Belt,13.80-13.95,74.60-74.65,Rabi,Cowpea,GP-1
Byndoor,Zone A: Coastal Belt,13.80-13.95,74.60-74.65,Rabi,Green gram,Pusa Vishal
Byndoor,Zone A: Coastal Belt,13.80-13.95,74.60-74.65,Rabi,Groundnut,TMV-2
Byndoor,Zone A: Coastal Belt,13.80-13.95,74.60-74.65,Rabi,Groundnut,DH 3-30
Byndoor,Zone A: Coastal Belt,13.80-13.95,74.60-74.65,Rabi,Groundnut,DH-40
Byndoor,Zone A: Coastal Belt,13.80-13.95,74.60-74.65,Rabi,Paddy,
Byndoor,Zone A: Coastal Belt,13.80-13.95,74.60-74.65,Rabi,Paddy,MO-4
Byndoor,Zone A: Coastal Belt,13.80-13.95,74.60-74.65,Rabi,Sesame,DS-1
Byndoor,Zone A: Coastal Belt,13.80-13.95,74.60-74.65,Summer,Groundnut,TMV-2
Byndoor,Zone A: Coastal Belt,13.80-13.95,74.60-74.65,Summer,Groundnut,DH 3-30
Byndoor,Zone A: Coastal Belt,13.80-13.95,74.60-74.65,Summer,Paddy,
Byndoor,Zone A: Coastal Belt,13.80-13.95,74.60-74.65,Summer,Paddy,Shakti
Byndoor,Zone A: Coastal Belt,13.80-13.95,74.60-74.65,Summer,Paddy,CTH-1 (Mukti)
Byndoor,Zone A: Coastal Belt,13.80-13.95,74.60-74.65,Summer,Vegetables,Brinjal
Byndoor,Zone A: Coastal Belt,13.80-13.95,74.60-74.65,Summer,Vegetables,Chilli
Byndoor,Zone A: Coastal Belt,13.80-13.95,74.60-74.65,Summer,Vegetables,Watermelon
Byndoor,Zone A: Coastal Belt,13.80-13.95,74.60-74.65,Summer,Vegetables,Cucumber
Byndoor,Zone B: Interior,13.80-13.95,74.65-74.80,Kharif,Paddy,MO-4 (Bhadra)
Byndoor,Zone B: Interior,13.80-13.95,74.65-74.80,Kharif,Paddy,Mahaveer
Byndoor,Zone B: Interior,13.80-13.95,74.65-74.80,Rabi,Black gram,LBG-17
Byndoor,Zone B: Interior,13.80-13.95,74.65-74.80,Rabi,Cowpea,GP-1
Byndoor,Zone B: Interior,13.80-13.95,74.65-74.80,Rabi,Green gram,Pusa Vishal
Byndoor,Zone B: Interior,13.80-13.95,74.65-74.80,Rabi,Groundnut,TMV-2
Byndoor,Zone B: Interior,13.80-13.95,74.65-74.80,Rabi,Groundnut,DH 3-30
Byndoor,Zone B: Interior,13.80-13.95,74.65-74.80,Rabi,Groundnut,DH-40
Byndoor,Zone B: Interior,13.80-13.95,74.65-74.80,Rabi,Paddy,
Byndoor,Zone B: Interior,13.80-13.95,74.65-74.80,Rabi,Paddy,MO-4
Byndoor,Zone B: Interior,13.80-13.95,74.65-74.80,Rabi,Sesame,DS-1
Byndoor,Zone B: Interior,13.80-13.95,74.65-74.80,Summer,Groundnut,TMV-2
Byndoor,Zone B: Interior,13.80-13.95,74.65-74.80,Summer,Groundnut,DH 3-30
Byndoor,Zone B: Interior,13.80-13.95,74.65-74.80,Summer,Paddy,
Byndoor,Zone B: Interior,13.80-13.95,74.65-74.80,Summer,Paddy,Shakti
Byndoor,Zone B: Interior,13.80-13.95,74.65-74.80,Summer,Paddy,CTH-1 (Mukti)
Byndoor,Zone B: Interior,13.80-13.95,74.65-74.80,Summer,Vegetables,Brinjal
Byndoor,Zone B: Interior,13.80-13.95,74.65-74.80,Summer,Vegetables,Chilli
Byndoor,Zone B: Interior,13.80-13.95,74.65-74.80,Summer,Vegetables,Watermelon
Byndoor,Zone B: Interior,13.80-13.95,74.65-74.80,Summer,Vegetables,Cucumber
