Division,Season,Crop,Variety,pH,Soil Type
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Kharif,Paddy,MO-4 (Bhadra),4.00–6.98,Lateritic
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Kharif,Paddy,MO-4 (Bhadra),4.00–6.98,Lateritic
Brahmavara,Kharif,Paddy,MO-4 (Bhadra),4.00–6.98,Lateritic
Kapu,Kharif,Paddy,MO-4 (Bhadra),4.08–5.86,Coastal Alluvium
Kapu,Kharif,Paddy,MO-4 (Bhadra),4.08–5.86,Coastal Alluvium
Brahmavara,Kharif,Paddy,MO-4 (Bhadra),4.00–6.98,Lateritic
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Kapu,Kharif,Paddy,MO-4 (Bhadra),4.08–5.86,Coastal Alluvium
Kapu,Kharif,Paddy,MO-4 (Bhadra),4.08–5.86,Coastal Alluvium
Kapu,Kharif,Paddy,MO-4 (Bhadra),4.08–5.86,Coastal Alluvium
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,MO-4 (Bhadra),4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Kharif,Paddy,Mahaveer,4.00–6.98,Lateritic
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Kharif,Paddy,Mahaveer,4.00–6.98,Lateritic
Brahmavara,Kharif,Paddy,Mahaveer,4.00–6.98,Lateritic
Kapu,Kharif,Paddy,Mahaveer,4.08–5.86,Coastal Alluvium
Kapu,Kharif,Paddy,Mahaveer,4.08–5.86,Coastal Alluvium
Brahmavara,Kharif,Paddy,Mahaveer,4.00–6.98,Lateritic
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Kapu,Kharif,Paddy,Mahaveer,4.08–5.86,Coastal Alluvium
Kapu,Kharif,Paddy,Mahaveer,4.08–5.86,Coastal Alluvium
Kapu,Kharif,Paddy,Mahaveer,4.08–5.86,Coastal Alluvium
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Kharif,Paddy,Mahaveer,4.00–6.98,Lateritic
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Kharif,Paddy,Mahaveer,4.00–6.98,Lateritic
Brahmavara,Kharif,Paddy,Mahaveer,4.00–6.98,Lateritic
Kapu,Kharif,Paddy,Mahaveer,4.08–5.86,Coastal Alluvium
Kapu,Kharif,Paddy,Mahaveer,4.08–5.86,Coastal Alluvium
Brahmavara,Kharif,Paddy,Mahaveer,4.00–6.98,Lateritic
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Kapu,Kharif,Paddy,Mahaveer,4.08–5.86,Coastal Alluvium
Kapu,Kharif,Paddy,Mahaveer,4.08–5.86,Coastal Alluvium
Kapu,Kharif,Paddy,Mahaveer,4.08–5.86,Coastal Alluvium
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Mahaveer,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Kharif,Paddy,Matta,4.00–6.98,Lateritic
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Kharif,Paddy,Matta,4.00–6.98,Lateritic
Brahmavara,Kharif,Paddy,Matta,4.00–6.98,Lateritic
Kapu,Kharif,Paddy,Matta,4.08–5.86,Coastal Alluvium
Kapu,Kharif,Paddy,Matta,4.08–5.86,Coastal Alluvium
Brahmavara,Kharif,Paddy,Matta,4.00–6.98,Lateritic
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Kapu,Kharif,Paddy,Matta,4.08–5.86,Coastal Alluvium
Kapu,Kharif,Paddy,Matta,4.08–5.86,Coastal Alluvium
Kapu,Kharif,Paddy,Matta,4.08–5.86,Coastal Alluvium
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Kharif,Paddy,Matta,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Rabi,Paddy,,4.00–6.98,Lateritic
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Rabi,Paddy,,4.00–6.98,Lateritic
Brahmavara,Rabi,Paddy,,4.00–6.98,Lateritic
Kapu,Rabi,Paddy,,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Paddy,,4.08–5.86,Coastal Alluvium
Brahmavara,Rabi,Paddy,,4.00–6.98,Lateritic
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Kapu,Rabi,Paddy,,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Paddy,,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Paddy,,4.08–5.86,Coastal Alluvium
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Rabi,Paddy,,4.00–6.98,Lateritic
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Rabi,Paddy,,4.00–6.98,Lateritic
Brahmavara,Rabi,Paddy,,4.00–6.98,Lateritic
Kapu,Rabi,Paddy,,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Paddy,,4.08–5.86,Coastal Alluvium
Brahmavara,Rabi,Paddy,,4.00–6.98,Lateritic
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Kapu,Rabi,Paddy,,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Paddy,,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Paddy,,4.08–5.86,Coastal Alluvium
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Rabi,Paddy,Jyoti,4.00–6.98,Lateritic
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Rabi,Paddy,Jyoti,4.00–6.98,Lateritic
Brahmavara,Rabi,Paddy,Jyoti,4.00–6.98,Lateritic
Kapu,Rabi,Paddy,Jyoti,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Paddy,Jyoti,4.08–5.86,Coastal Alluvium
Brahmavara,Rabi,Paddy,Jyoti,4.00–6.98,Lateritic
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Kapu,Rabi,Paddy,Jyoti,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Paddy,Jyoti,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Paddy,Jyoti,4.08–5.86,Coastal Alluvium
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Paddy,Jyoti,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Rabi,Groundnut,TMV-2,4.00–6.98,Lateritic
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Rabi,Groundnut,TMV-2,4.00–6.98,Lateritic
Brahmavara,Rabi,Groundnut,TMV-2,4.00–6.98,Lateritic
Kapu,Rabi,Groundnut,TMV-2,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Groundnut,TMV-2,4.08–5.86,Coastal Alluvium
